Schema,Code,StructureLabel,Description,AlphaBetaRatio
FMA (3.2),18305, Ampulla of uterine tube, Ampulla of uterine tube,0
FMA (3.2),15703, Anal Canal, Anal canal,0
FMA (3.2),20347, Anal part of perineum, Anal part of perineum,0
FMA (3.2),15717, Anal sinus, Anal sinus,0
FMA (3.2),21930, Anal Sphincter External, External anal sphincter,0
FMA (3.2),15710, Anal Sphincter Internal, Internal anal sphincter,0
FMA (3.2),67552, Anatomical cavity, Anatomical cavity,0
FMA (3.2),49443, Anatomical cluster, Anatomical cluster,0
FMA (3.2),9647, Anatomical compartment, Anatomical compartment,0
FMA (3.2),84926, Anatomical compartment space, Anatomical compartment space,0
FMA (3.2),9338, Anatomical conduit space, Anatomical conduit space,0
FMA (3.2),67175, Anatomical entity template, Anatomical entity template,0
FMA (3.2),5898, Anatomical junction, Anatomical junction,0
FMA (3.2),3724, Anatomical orifice, Anatomical orifice,0
FMA (3.2),55652, Anatomical set, Anatomical set,0
FMA (3.2),85267, Anatomical set template, Anatomical set template,0
FMA (3.2),5897, Anatomical space, Anatomical space,0
FMA (3.2),67135, Anatomical structure, Anatomical structure,0
FMA (3.2),37704, Anconeus, Anconeus,0
FMA (3.2),19038, Anococcygeal nerve, Anococcygeal nerve,0
FMA (3.2),62867, Anodal lymphatic tree, Anodal lymphatic tree,0
FMA (3.2),16669, Anorectal lymph node, Anorectal lymph node,0
FMA (3.2),45201, Anserine bursa, Anserine bursa,0
FMA (3.2),234527, Antebrachial lymph node, Antebrachial lymph node,0
FMA (3.2),229093, Antebrachial lymphatic chain, Antebrachial lymphatic chain,0
FMA (3.2),23976, Anterior arch of atlas, Anterior arch of atlas,0
FMA (3.2),61219, Anterior auricular lymph node, Anterior auricular lymph node,0
FMA (3.2),223796, Anterior auricular lymphatic chain, Anterior auricular lymphatic chain,0
FMA (3.2),233346, Anterior basal segmental bronchus lymph node group, Anterior basal segmental bronchus lymph node group,0
FMA (3.2),13290, Anterior basal segmental vein, Anterior basal segmental vein,0
FMA (3.2),25035, Anterior bursa of median atlanto-axial joint, Anterior bursa of median atlanto-axial joint,0
FMA (3.2),76767, Anterior cardiac vein, Anterior cardiac vein,0
FMA (3.2),4717, Anterior cardiac venous tree, Anterior cardiac venous tree,0
FMA (3.2),51306, Anterior cerebral vein, Anterior cerebral vein,0
FMA (3.2),23075, Anterior cervical intertransversarius, Anterior cervical intertransversarius,0
FMA (3.2),61230, Anterior cervical lymph node, Anterior cervical lymph node,0
FMA (3.2),223937, Anterior cervical lymphatic chain, Anterior cervical lymphatic chain,0
FMA (3.2),87543, Anterior chest wall, Anterior chest wall,0
FMA (3.2),58380, Anterior compartment of neck, Anterior compartment of neck,0
FMA (3.2),9682, Anterior cranial fossa, Anterior cranial fossa,0
FMA (3.2),224641, Anterior deep cervical lymphatic chain, Anterior deep cervical lymphatic chain,0
FMA (3.2),5936, Anterior diaphragmatic lymph node, Anterior diaphragmatic lymph node,0
FMA (3.2),234361, Anterior diaphragmatic lymphatic chain, Anterior diaphragmatic lymphatic chain,0
FMA (3.2),57452, Anterior ethmoidal cell, Anterior ethmoidal cell,0
FMA (3.2),16692, Anterior ileocolic lymph node, Anterior ileocolic lymph node,0
FMA (3.2),71805, Anterior ileocolic lymph node group, Anterior ileocolic lymph node group,0
FMA (3.2),235246, Anterior ileocolic lymphatic chain, Anterior ileocolic lymphatic chain,0
FMA (3.2),232361, Anterior inferior deep cervical lymph node, Anterior inferior deep cervical lymph node,0
FMA (3.2),232429, Anterior inferior deep cervical lymphatic chain, Anterior inferior deep cervical lymphatic chain,0
FMA (3.2),277315, Anterior inferior pancreaticoduodenal lymph node, Anterior inferior pancreaticoduodenal lymph node,0
FMA (3.2),66403, Anterior interventricular vein, Anterior interventricular vein,0
FMA (3.2),265668, Anterior jugular lymphatic chain, Anterior jugular lymphatic chain,0
FMA (3.2),72251, Anterior lobe of cerebellum, Anterior lobe of cerebellum,0
FMA (3.2),233426, Anterior mediastinal lymph node group, Anterior mediastinal lymph node group,0
FMA (3.2),229074, Anterior mediastinal lymphatic chain, Anterior mediastinal lymphatic chain,0
FMA (3.2),78123, Anterior mediastinal vein, Anterior mediastinal vein,0
FMA (3.2),278166, Anterior pancreaticoduodenal lymph node group, Anterior pancreaticoduodenal lymph node group,0
FMA (3.2),278402, Anterior pancreaticoduodenal lymphatic chain, Anterior pancreaticoduodenal lymphatic chain,0
FMA (3.2),265300, Anterior pararenal space, Anterior pararenal space,0
FMA (3.2),83691, Anterior part of epiglottis, Anterior part of epiglottis,0
FMA (3.2),223911, Anterior part of pelvis, Anterior part of pelvis,0
FMA (3.2),229084, Anterior part of tongue, Anterior part of tongue,0
FMA (3.2),29723, Anterior perianal space, Anterior perianal space,0
FMA (3.2),84595, Anterior prostatic lymphatic tree, Anterior prostatic lymphatic tree,0
FMA (3.2),233272, Anterior segmental bronchus lymph node group, Anterior segmental bronchus lymph node group,0
FMA (3.2),13442, Anterior segmental vein, Anterior segmental vein,0
FMA (3.2),60187, Anterior semicircular canal, Anterior semicircular canal,0
FMA (3.2),64875, Anterior suboccipital muscle, Anterior suboccipital muscle,0
FMA (3.2),232369, Anterior superficial cervical lymphatic chain, Anterior superficial cervical lymphatic chain,0
FMA (3.2),50063, Anterior superficial chest wall, Anterior superficial chest wall,0
FMA (3.2),232355, Anterior superior deep cervical lymph node, Anterior superior deep cervical lymph node,0
FMA (3.2),232425, Anterior superior deep cervical lymphatic chain, Anterior superior deep cervical lymphatic chain,0
FMA (3.2),277305, Anterior superior pancreaticoduodenal lymph node, Anterior superior pancreaticoduodenal lymph node,0
FMA (3.2),45099, Anterior tarsal synovial tendon sheath, Anterior tarsal synovial tendon sheath,0
FMA (3.2),87542, Anterior thoracic wall, Anterior thoracic wall,0
FMA (3.2),44308, Anterior tibial lymph node, Anterior tibial lymph node,0
FMA (3.2),61909, Anterior transverse temporal gyrus, Anterior transverse temporal gyrus,0
FMA (3.2),57777, Anterior triangle of neck, Anterior triangle of neck,0
FMA (3.2),51013, Anterior vein of left septum pellucidum, Anterior vein of left septum pellucidum,0
FMA (3.2),51012, Anterior vein of right septum pellucidum, Anterior vein of right septum pellucidum,0
FMA (3.2),51007, Anterior vein of septum pellucidum, Anterior vein of septum pellucidum,0
FMA (3.2),86674, Anterior wall of cecum, Anterior wall of cecum,0
FMA (3.2),55071, Anterior wall of laryngopharynx, Anterior wall of laryngopharynx,0
FMA (3.2),55084, Anterior wall of pharynx, Anterior wall of pharynx,0
FMA (3.2),15903, Anterior wall of urinary bladder, Anterior wall of urinary bladder,0
FMA (3.2),224876, Anterior wall of uterus, Anterior wall of uterus,0
FMA (3.2),19972, Anterior wall of vagina, Anterior wall of vagina,0
FMA (3.2),277261, Anterosuperior common hepatic lymph node, Anterosuperior common hepatic lymph node,0
FMA (3.2),278120, Anterosuperior common hepatic lymph node group, Anterosuperior common hepatic lymph node group,0
FMA (3.2),278470, Anterosuperior common hepatic lymphatic chain, Anterosuperior common hepatic lymphatic chain,0
FMA (3.2),48980, Antitragicus, Antitragicus,0
FMA (3.2),15711, Anus, Anus,0
FMA (3.2),3734, Aorta, Aorta,0
FMA (3.2),265335, Aortocaval lymph node, Aortocaval lymph node,0
FMA (3.2),276997, Aortopulmonary lymph node group, Aortopulmonary lymph node group,0
FMA (3.2),19648, Apex of glans penis, Apex of glans penis,0
FMA (3.2),54649, Apex of tongue, Apex of tongue,0
FMA (3.2),15914, Apex of urinary bladder, Apex of urinary bladder,0
FMA (3.2),14190, Apical axillary lymph node, Apical axillary lymph node,0
FMA (3.2),71742, Apical axillary lymph node group, Apical axillary lymph node group,0
FMA (3.2),235602, Apical lingual lymphatic tree, Apical lingual lymphatic tree,0
FMA (3.2),233257, Apical segmental bronchus lymph node group, Apical segmental bronchus lymph node group,0
FMA (3.2),13444, Apical segmental vein, Apical segmental vein,0
FMA (3.2),8666, Apicoposterior segmental vein, Apicoposterior segmental vein,0
FMA (3.2),16620, Appendicular lymph node, Appendicular lymph node,0
FMA (3.2),71807, Appendicular lymph node group, Appendicular lymph node group,0
FMA (3.2),234260, Appendicular lymphatic chain, Appendicular lymphatic chain,0
FMA (3.2),15410, Appendicular vein, Appendicular vein,0
FMA (3.2),14542, Appendix, Appendix,0
FMA (3.2),23975, Arch of atlas, Arch of atlas,0
FMA (3.2),16091, Arch of fifth lumbar vertebra, Arch of fifth lumbar vertebra,0
FMA (3.2),16090, Arch of fourth lumbar vertebra, Arch of fourth lumbar vertebra,0
FMA (3.2),16088, Arch of second lumbar vertebra, Arch of second lumbar vertebra,0
FMA (3.2),16089, Arch of third lumbar vertebra, Arch of third lumbar vertebra,0
FMA (3.2),67796, Areola, Areola,0
FMA (3.2),223675, Areola of female breast, Areola of female breast,0
FMA (3.2),223679, Areola of left female breast, Areola of left female breast,0
FMA (3.2),223673, Areola of left male breast, Areola of left male breast,0
FMA (3.2),223669, Areola of male breast, Areola of male breast,0
FMA (3.2),223677, Areola of right female breast, Areola of right female breast,0
FMA (3.2),223671, Areola of right male breast, Areola of right male breast,0
FMA (3.2),58090, Areolar gland, Areolar gland,0
FMA (3.2),45840, Arterial tree organ, Arterial tree organ,0
FMA (3.2),30313, Arterial trunk, Arterial trunk,0
FMA (3.2),50720, Artery, Artery,0
FMA (3.2),37701, Articularis cubiti, Articularis cubiti,0
FMA (3.2),22437, Articularis genus, Articularis genus,0
FMA (3.2),55109, Arytenoid Cartilage, Arytenoid cartilage,0
FMA (3.2),55114, Arytenoid Cartilage Left, Left arytenoid cartilage,0
FMA (3.2),55113, Arytenoid Cartilage Right, Right arytenoid cartilage,0
FMA (3.2),14545, Ascending colon, Ascending colon,0
FMA (3.2),5846, Ascending lumbar lymphatic trunk, Ascending lumbar lymphatic trunk,0
FMA (3.2),12858, Ascending lumbar vein, Ascending lumbar vein,0
FMA (3.2),12519, Atlas, Atlas,0
FMA (3.2),59739, Atrium of left middle nasal meatus, Atrium of left middle nasal meatus,0
FMA (3.2),59737, Atrium of middle nasal meatus, Atrium of middle nasal meatus,0
FMA (3.2),59738, Atrium of right middle nasal meatus, Atrium of right middle nasal meatus,0
FMA (3.2),7097, Attrium Left, Left atrium,0
FMA (3.2),7096, Attrium Right, Right atrium,0
FMA (3.2),7596, Atypical rib, Atypical rib,0
FMA (3.2),52750, Auditory ossicle, Auditory ossicle,0
FMA (3.2),48966, Auricular muscle, Auricular muscle,0
FMA (3.2),46856, Auricularis anterior, Auricularis anterior,0
FMA (3.2),46857, Auricularis posterior, Auricularis posterior,0
FMA (3.2),46855, Auricularis superior, Auricularis superior,0
FMA (3.2),5866, Autonomic nerve, Autonomic nerve,0
FMA (3.2),24864, Axilla, Axilla,0
FMA (3.2),61464, Axillary fossa, Axillary fossa,0
FMA (3.2),276805, Axillary lymph node, Axillary lymph node,0
FMA (3.2),71741, Axillary lymph node group, Axillary lymph node group,0
FMA (3.2),37072, Axillary nerve, Axillary nerve,0
FMA (3.2),73247, Axillary nodes, Axillary lymphatic chain,0
FMA (3.2),73250, Axillary nodes Left, Left axillary lymphatic chain,0
FMA (3.2),73251, Axillary nodes level I, Pectoral axillary lymphatic chain,0
FMA (3.2),73253, Axillary nodes level I Left, Left pectoral axillary lymphatic chain,0
FMA (3.2),73252, Axillary nodes level I Right, Right pectoral axillary lymphatic chain,0
FMA (3.2),73260, Axillary nodes level II, Central axillary lymphatic chain,0
FMA (3.2),73263, Axillary nodes level II Left, Left central axillary lymphatic chain,0
FMA (3.2),73262, Axillary nodes level II Right, Right central axillary lymphatic chain,0
FMA (3.2),73261, Axillary nodes level III, Apical axillary lymphatic chain,0
FMA (3.2),73265, Axillary nodes level III Left, Left apical axillary lymphatic chain,0
FMA (3.2),73264, Axillary nodes level III Right, Right apical axillary lymphatic chain,0
FMA (3.2),73249, Axillary nodes Right, Right axillary lymphatic chain,0
FMA (3.2),12520, Axis, Axis,0
FMA (3.2),4838, Azygos Vein, Azygos vein,0
FMA (3.2),77700, Basal forebrain, Basal forebrain,0
FMA (3.2),235606, Basal lingual lymphatic tree, Basal lingual lymphatic tree,0
FMA (3.2),50990, Basal vein, Basal vein,0
FMA (3.2),19649, Base of glans penis, Base of glans penis,0
FMA (3.2),52831, Base of mandible, Base of mandible,0
FMA (3.2),54645, Base of Tongue, Base of tongue,0
FMA (3.2),54664, Base proper of tongue, Base proper of tongue,0
FMA (3.2),52801, Basicranium, Basicranium,0
FMA (3.2),37670, Biceps brachii, Biceps brachii,0
FMA (3.2),22356, Biceps femoris, Biceps femoris,0
FMA (3.2),75185, Bicipital bursa, Bicipital bursa,0
FMA (3.2),42281, Bicipitoradial bursa, Bicipitoradial bursa,0
FMA (3.2),9706, Bile duct, Bile duct,0
FMA (3.2),79646, Biliary system, Biliary system,0
FMA (3.2),14665, Biliary tree, Biliary tree,0
FMA (3.2),15900, Bladder, Urinary bladder,5
FMA (3.2),15902, Bladder Wall, Wall of urinary bladder,0
FMA (3.2),256135, Body, Body,0
FMA (3.2),85007, Body cavity subdivision, Body cavity subdivision,0
FMA (3.2),12236, Body compartment subdivision, Body compartment subdivision,0
FMA (3.2),76926, Body of cerebellum, Body of cerebellum,0
FMA (3.2),20000, Body of clitoris, Body of clitoris,0
FMA (3.2),65926, Body of first vertebra of coccyx, Body of first vertebra of coccyx,0
FMA (3.2),14518, Body of pancreas, Body of pancreas,0
FMA (3.2),18249, Body of penis, Body of penis,0
FMA (3.2),54641, Body of tongue, Body of tongue,0
FMA (3.2),15909, Body of urinary bladder, Body of urinary bladder,0
FMA (3.2),256133, Body of vertebrate, Body of vertebrate,0
FMA (3.2),20368, Body part subdivision cluster, Body part subdivision cluster,0
FMA (3.2),9608, Bone Marrow, Bone marrow,0
FMA (3.2),5018, Bones, Bone organ,0
FMA (3.2),75740, Bony nasal cavity, Bony nasal cavity,0
FMA (3.2),7199, Bowel, Intestine,0
FMA (3.2),7201, Bowel Large, Large intestine,3
FMA (3.2),7200, Bowel Small, Small intestine,3
FMA (3.2),44314, Brachial lymph node, Brachial lymph node,0
FMA (3.2),71753, Brachial lymph node group, Brachial lymph node group,0
FMA (3.2),5906, Brachial Nerve Plexus, Brachial nerve plexus,0
FMA (3.2),45245, Brachial Nerve Plexus Left, Left brachial nerve plexus,2
FMA (3.2),45244, Brachial Nerve Plexus Right, Right brachial nerve plexus,2
FMA (3.2),37667, Brachialis, Brachialis,0
FMA (3.2),3932, Brachiocephalic Artery, Brachiocephalic artery,0
FMA (3.2),5944, Brachiocephalic lymph node, Brachiocephalic lymph node,0
FMA (3.2),71764, Brachiocephalic lymph node group, Brachiocephalic lymph node group,0
FMA (3.2),75631, Brachiocephalic lymphatic chain, Brachiocephalic lymphatic chain,0
FMA (3.2),4723, Brachiocephalic vein, Brachiocephalic vein,0
FMA (3.2),38485, Brachioradialis, Brachioradialis,0
FMA (3.2),50801, Brain, Brain,2
FMA (3.2),79876, Brainstem, Brainstem,2
FMA (3.2),70483, Branch of inferior mesenteric artery, Branch of inferior mesenteric artery,0
FMA (3.2),70478, Branch of superior mesenteric artery, Branch of superior mesenteric artery,0
FMA (3.2),9601, Breast, Breast,0
FMA (3.2),73104, Breast proper, Breast proper,0
FMA (3.2),268893, Breasts, Set of breasts,0
FMA (3.2),26660, Bronchial Tree, Bronchial tree,0
FMA (3.2),26662, Bronchial Tree Left, Left bronchial tree,0
FMA (3.2),26661, Bronchial Tree Right, Right bronchial tree,0
FMA (3.2),4749, Bronchial vein, Bronchial vein,0
FMA (3.2),66146, Bronchomediastinal lymphatic tree, Bronchomediastinal lymphatic tree,0
FMA (3.2),9585, Bronchomediastinal lymphatic trunk, Bronchomediastinal lymphatic trunk,0
FMA (3.2),71769, Bronchopulmonary lymph node group, Bronchopulmonary lymph node group,0
FMA (3.2),229080, Bronchopulmonary lymphatic chain, Bronchopulmonary lymphatic chain,0
FMA (3.2),68286, Bronchopulmonary segment lymph node, Bronchopulmonary segment lymph node,0
FMA (3.2),7409, Bronchus, Bronchus,0
FMA (3.2),59793, Buccal salivary gland, Buccal salivary gland,0
FMA (3.2),46834, Buccinator, Buccinator,0
FMA (3.2),61223, Buccinator lymph node, Buccinator lymph node,0
FMA (3.2),223840, Buccinator lymphatic chain, Buccinator lymphatic chain,0
FMA (3.2),20199, Bulb of vestibule, Bulb of vestibule,0
FMA (3.2),19729, Bulbospongiosus, Bulbospongiosus,0
FMA (3.2),9599, Bulbo-urethral gland, Bulbo-urethral gland,0
FMA (3.2),75273, Bursa of flexor carpi radialis, Bursa of flexor carpi radialis,0
FMA (3.2),75388, Bursa of iliopsoas, Bursa of iliopsoas,0
FMA (3.2),75275, Bursa of left flexor carpi radialis, Bursa of left flexor carpi radialis,0
FMA (3.2),75390, Bursa of left iliopsoas, Bursa of left iliopsoas,0
FMA (3.2),45071, Bursa of left piriformis, Bursa of left piriformis,0
FMA (3.2),45086, Bursa of left tendo calcaneus, Bursa of left tendo calcaneus,0
FMA (3.2),75183, Bursa of left triceps brachii, Bursa of left triceps brachii,0
FMA (3.2),45069, Bursa of piriformis, Bursa of piriformis,0
FMA (3.2),75274, Bursa of right flexor carpi radialis, Bursa of right flexor carpi radialis,0
FMA (3.2),75389, Bursa of right iliopsoas, Bursa of right iliopsoas,0
FMA (3.2),45070, Bursa of right piriformis, Bursa of right piriformis,0
FMA (3.2),45085, Bursa of right tendo calcaneus, Bursa of right tendo calcaneus,0
FMA (3.2),75182, Bursa of right triceps brachii, Bursa of right triceps brachii,0
FMA (3.2),45084, Bursa of tendo calcaneus, Bursa of tendo calcaneus,0
FMA (3.2),76876, Bursa of tensor veli palatini, Bursa of tensor veli palatini,0
FMA (3.2),75181, Bursa of triceps brachii, Bursa of triceps brachii,0
FMA (3.2),25245, Buttock, Buttock,0
FMA (3.2),71179, C1 segment, C1 segment,0
FMA (3.2),71180, C2 segment, C2 segment,0
FMA (3.2),71181, C3 segment, C3 segment,0
FMA (3.2),71182, C4 segment, C4 segment,0
FMA (3.2),71183, C5 segment, C5 segment,0
FMA (3.2),71184, C6 segment, C6 segment,0
FMA (3.2),52526, C6 segment of esophagus, C6 segment of esophagus,0
FMA (3.2),71185, C7 segment, C7 segment,0
FMA (3.2),52528, C7 segment of esophagus, C7 segment of esophagus,0
FMA (3.2),71186, C8 segment, C8 segment,0
FMA (3.2),24496, Calcaneus, Calcaneus,0
FMA (3.2),52800, Calvaria, Calvaria,0
FMA (3.2),55636, Canine tooth, Canine tooth,0
FMA (3.2),23727, Capitate, Capitate,0
FMA (3.2),21510, Cardia of stomach branch of left gastric artery, Cardia of stomach branch of left gastric artery,0
FMA (3.2),7099, Cardiac atrium, Cardiac atrium,0
FMA (3.2),7095, Cardiac chamber, Cardiac chamber,0
FMA (3.2),233364, Cardiac lymph node group of left tracheobronchial lymphatic chai, Cardiac lymph node group of left tracheobronchial lymphatic chai,0
FMA (3.2),233368, Cardiac lymph node group of right brachiocephalic lymphatic chai, Cardiac lymph node group of right brachiocephalic lymphatic chai,0
FMA (3.2),5971, Cardiac lymphatic trunk, Cardiac lymphatic trunk,0
FMA (3.2),14915, Cardiac sphincter, Cardiac sphincter,0
FMA (3.2),12846, Cardiac vein, Cardiac vein,0
FMA (3.2),50307, Cardiac venous tree, Cardiac venous tree,0
FMA (3.2),7100, Cardiac ventricle, Cardiac ventricle,0
FMA (3.2),82472, Cardinal organ part, Cardinal organ part,0
FMA (3.2),61815, Cardinal segment of brain, Cardinal segment of brain,0
FMA (3.2),265353, Cardiophrenic angle lymph node, Cardiophrenic angle lymph node,0
FMA (3.2),7465, Carina, Carina of trachea,0
FMA (3.2),3939, Carotid Artery, Common carotid artery,0
FMA (3.2),50095, Carotid body, Carotid body,0
FMA (3.2),61598, Carotid triangle, Carotid triangle,0
FMA (3.2),23889, Carpal bone, Carpal bone,0
FMA (3.2),7496, Cartilaginous joint, Cartilaginous joint,0
FMA (3.2),52590, Cauda Equina, Cauda equina,0
FMA (3.2),20194, Cavernous organ, Cavernous organ,0
FMA (3.2),75191, Cavernous organ of clitoris, Cavernous organ of clitoris,0
FMA (3.2),75189, Cavernous organ of penis, Cavernous organ of penis,0
FMA (3.2),55671, Cavitated organ, Cavitated organ,0
FMA (3.2),61090, Cavity of concha of left pinna, Cavity of concha of left pinna,0
FMA (3.2),61088, Cavity of concha of pinna, Cavity of concha of pinna,0
FMA (3.2),61089, Cavity of concha of right pinna, Cavity of concha of right pinna,0
FMA (3.2),59728, Cavity of internal nose, Cavity of internal nose,0
FMA (3.2),55263, Cavity of larynx, Cavity of larynx,0
FMA (3.2),59730, Cavity of left side of internal nose, Cavity of left side of internal nose,0
FMA (3.2),24034, Cavity of organ part, Cavity of organ part,0
FMA (3.2),59729, Cavity of right side of internal nose, Cavity of right side of internal nose,0
FMA (3.2),59594, Cavity of subdivision of principal body part, Cavity of subdivision of principal body part,0
FMA (3.2),59731, Cavity proper of internal nose, Cavity proper of internal nose,0
FMA (3.2),59733, Cavity proper of left side of internal nose, Cavity proper of left side of internal nose,0
FMA (3.2),59732, Cavity proper of right side of internal nose, Cavity proper of right side of internal nose,0
FMA (3.2),265223, Cecal caput, Cecal caput,0
FMA (3.2),15412, Cecal tributary of ileocolic vein, Cecal tributary of ileocolic vein,0
FMA (3.2),14541, Cecum, Cecum,0
FMA (3.2),259308, Cecum proper, Cecum proper,0
FMA (3.2),50737, Celiac Artery, Celiac artery,0
FMA (3.2),71787, Celiac lymph node group, Celiac lymph node group,0
FMA (3.2),277916, Celiac lymph node group proper, Celiac lymph node group proper,0
FMA (3.2),223905, Celiac lymphatic chain, Celiac lymphatic chain,0
FMA (3.2),235552, Celiac lymphatic chain proper, Celiac lymphatic chain proper,0
FMA (3.2),83115, Cell part cluster, Cell part cluster,0
FMA (3.2),83143, Cell part cluster of neuraxis, Cell part cluster of neuraxis,0
FMA (3.2),14189, Central axillary lymph node, Central axillary lymph node,0
FMA (3.2),71749, Central axillary lymph node group, Central axillary lymph node group,0
FMA (3.2),235608, Central lingual lymphatic tree, Central lingual lymphatic tree,0
FMA (3.2),236423, Central region of breast, Central region of breast,0
FMA (3.2),236651, Central region of left breast, Central region of left breast,0
FMA (3.2),236649, Central region of right breast, Central region of right breast,0
FMA (3.2),71803, Central superior mesenteric lymph node group, Central superior mesenteric lymph node group,0
FMA (3.2),278458, Central superior mesenteric lymphatic chain, Central superior mesenteric lymphatic chain,0
FMA (3.2),74231, Central zone of prostate, Central zone of prostate,0
FMA (3.2),51227, Cerebellar vein, Cerebellar vein,0
FMA (3.2),74517, Cerebellomedullary cistern, Cerebellomedullary cistern,0
FMA (3.2),67944, Cerebellum, Cerebellum,0
FMA (3.2),83877, Cerebellum Left Hemisphere, Left hemisphere of cerebellum,0
FMA (3.2),83876, Cerebellum Right Hemisphere, Right hemisphere of cerebellum,0
FMA (3.2),61817, Cerebral hemisphere, Cerebral hemisphere,0
FMA (3.2),242188, Cerebral subcortex, Cerebral subcortex,0
FMA (3.2),50981, Cerebral vein, Cerebral vein,0
FMA (3.2),62000, Cerebrum, Telencephalon,0
FMA (3.2),61819, Cerebrum Left Hemishphere, Left cerebral hemisphere,0
FMA (3.2),67292, Cerebrum Right Hemisphere, Right cerebral hemisphere,0
FMA (3.2),22859, Cervical intertransversarius, Cervical intertransversarius,0
FMA (3.2),241943, Cervical level lymphatic chain, Cervical level lymphatic chain,0
FMA (3.2),78571, Cervical lymph node group, Cervical lymph node group,0
FMA (3.2),5859, Cervical nerve, Cervical nerve,0
FMA (3.2),9395, Cervical part of esophagus, Cervical part of esophagus,0
FMA (3.2),9913, Cervical rib, Cervical rib,0
FMA (3.2),23082, Cervical rotator, Cervical rotator,0
FMA (3.2),71166, Cervical segment of spinal cord, Cervical segment of spinal cord,0
FMA (3.2),256653, Cervical subsegment of spinal cord, Cervical subsegment of spinal cord,0
FMA (3.2),9915, Cervical vertebra, Cervical vertebra,0
FMA (3.2),23893, Cervical vertebral arch, Cervical vertebral arch,0
FMA (3.2),83804, Cervical vertebral canal, Cervical vertebral canal,0
FMA (3.2),17740, Cervix, Cervix of uterus,0
FMA (3.2),50060, Chest Wall, Chest wall,0
FMA (3.2),74515, Chiasmatic cistern, Chiasmatic cistern,0
FMA (3.2),46495, Chin, Chin,0
FMA (3.2),58298, Choroid, Choroid,0
FMA (3.2),58295, Ciliary body, Ciliary body,0
FMA (3.2),62434, Cingulate gyrus, Cingulate gyrus,0
FMA (3.2),16653, Circumflex iliac lymph node, Circumflex iliac lymph node,0
FMA (3.2),234278, Circumflex iliac lymphatic chain, Circumflex iliac lymphatic chain,0
FMA (3.2),73754, Circumorbital muscle, Circumorbital muscle,0
FMA (3.2),74516, Cistern of lamina terminalis, Cistern of lamina terminalis,0
FMA (3.2),83723, Cistern of lateral cerebral fossa, Cistern of lateral cerebral fossa,0
FMA (3.2),13321, Clavicle, Clavicle,0
FMA (3.2),13323, Clavicle Left, Left Clavicle,0
